,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
1135,569916731595972608,negative,1.0,Cancelled Flight,1.0,United,,patlee,,0,@united How do I get reimbursed for hotel and taxis for the Cancelled Flightation?,"[0.0, 0.0]",2015-02-23 09:48:32 -0800,"Bay Area, CA",Pacific Time (US & Canada),united how get reimbursed hotel taxis cancelled flightation,united how get reimbursed hotel taxi cancelled flightation,united how do i get reimbursed for hotel and taxis for the cancelled flightation ?
1137,569916324471828481,negative,1.0,Customer Service Issue,0.3579,United,,therealdavidsoo,,0,"@united In 2015, United is ""unable"" to look up a flight reservation by passenger name at the YYZ check-in counter - WOW smh #customerservice",,2015-02-23 09:46:54 -0800,"Toronto, Canada",Eastern Time (US & Canada),united 2015 united unable look flight reservation passenger name yyz check counter wow smh customerservice,united 2015 united unable look flight reservation passenger name yyz check counter wow smh customerservice,"united in 2015 , united is `` unable '' to look up a flight reservation by passenger name at the yyz check in counter wow smh customerservice"
1139,569915992303730689,negative,1.0,Customer Service Issue,1.0,United,,sbanoub,,1,@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!,,2015-02-23 09:45:35 -0800,"ÜT: 34.078171,-118.285555",Pacific Time (US & Canada),united phone hour customer service n't figure awesome service ... not,united phone hour customer service n't figure awesome service ... not,united been on the phone for over an hour with customer service and they ca n't figure it out ! awesome service ... not !
1140,569915643094396929,negative,1.0,Can't Tell,0.6885,United,,sbanoub,,0,"@united
You really know how to piss people off. Your Farelock option is fake!",,2015-02-23 09:44:12 -0800,"ÜT: 34.078171,-118.285555",Pacific Time (US & Canada),united you really know piss people your farelock option fake,united you really know piss people your farelock option fake,united you really know how to piss people off . your farelock option is fake !
1141,569915610890547200,negative,1.0,Late Flight,1.0,United,,DianeReischling,,0,"@united, last week shanghai to sfo 858 delay 5hrs bc of engine. today sfo-sea delay to ""sick pilot"". no compensation. They Do. Not. Care.",,2015-02-23 09:44:04 -0800,,Pacific Time (US & Canada),united last week shanghai sfo 858 delay 5hrs engine today sfo sea delay sick pilot compensation they not care,united last week shanghai sfo 858 delay 5hrs engine today sfo sea delay sick pilot compensation they not care,"united , last week shanghai to sfo 858 delay 5hrs bc of engine . today sfo sea delay to `` sick pilot '' . no compensation . they do . not . care ."
1142,569915576862183425,negative,1.0,Flight Booking Problems,0.6619,United,,docmartin_10,,0,@united only thing confusing me is why I lost priority boarding? I'm a mileage plus card member 😔,,2015-02-23 09:43:56 -0800,"Fort Wayne, Indiana",Eastern Time (US & Canada),united thing confusing lost priority boarding mileage plus card member,united thing confusing lost priority boarding mileage plus card member,united only thing confusing me is why i lost priority boarding ? i 'm a mileage plus card member 😔
1143,569915550127800320,negative,1.0,Late Flight,0.6536,United,,teamcrafty,,0,@united We're hoping to hear from you actually.,,2015-02-23 09:43:50 -0800,Grand Rapids,Quito,united 're hoping hear actually,united 're hoping hear actually,united we 're hoping to hear from you actually .
1145,569915182329286656,negative,1.0,Customer Service Issue,0.6681,United,,teamcrafty,,0,"@united It's the fact that an international should not be with out her bag and no sense of what's going on other than ""maintenance"".",,2015-02-23 09:42:22 -0800,Grand Rapids,Quito,united fact international bag sense going maintenance,united fact international bag sense going maintenance,united it 's the fact that an international should not be with out her bag and no sense of what 's going on other than `` maintenance '' .
1146,569915133113323520,negative,1.0,Customer Service Issue,0.6657,United,,teamcrafty,,0,"@united b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight.",,2015-02-23 09:42:10 -0800,Grand Rapids,Quito,united contacted directly phone service laissez faire best the problem n't cancelled flightled flight,united contacted directly phone service laissez faire best the problem n't cancelled flightled flight,"united b ) i contacted you directly , and the phone service was laissez faire at best . the problem is n't a cancelled flightled a flight ."
1147,569915029950222337,negative,1.0,Late Flight,0.66,United,,teamcrafty,,0,"@united a) she's an international. Her phone is on the fritz, I had to get to Chicago from nearly 4 hrs away to figure everything out.",,2015-02-23 09:41:46 -0800,Grand Rapids,Quito,united international her phone fritz get chicago nearly hrs away figure everything,united international her phone fritz get chicago nearly hr away figure everything,"united a ) she 's an international . her phone is on the fritz , i had to get to chicago from nearly 4 hrs away to figure everything out ."
1148,569914377442340865,negative,1.0,Lost Luggage,0.6593,United,,jwints,,0,"@united sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags",,2015-02-23 09:39:10 -0800,"Ottawa, Ontario",Pacific Time (US & Canada),united sorry delayed response 381 chicago san fran held almost hour tarmac also lost bags,united sorry delayed response 381 chicago san fran held almost hour tarmac also lost bag,"united sorry for the delayed response . it was ua 381 chicago to san fran . held up for almost an hour on the tarmac . also , lost my bags"
1149,569914369905201153,negative,1.0,Customer Service Issue,0.6392,United,,8629Fissile,,0,@united Okay thanks if you could please update me. I was told at the airport someone would call me today but they haven't.,,2015-02-23 09:39:08 -0800,,London,united okay thanks could please update told airport someone would call today n't,united okay thanks could please update told airport someone would call today n't,united okay thanks if you could please update me . i was told at the airport someone would call me today but they have n't .
1151,569913595762311168,negative,1.0,longlines,0.6742,United,,brianaverna,,0,@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi,,2015-02-23 09:36:04 -0800,"CT, NY and most other states",Eastern Time (US & Canada),united gate iad released passengers board others deplaning .50 peopleon bridge next flight board t.co hfof33iyhi,united gate iad released passenger board others deplaning .50 peopleon bridge next flight board t.co hfof33iyhi,united gate c 24 iad . u released passengers to board w others deplaning .50 peopleon bridge while next flight board : t.co hfof33iyhi
1153,569912776199704578,negative,1.0,Cancelled Flight,0.6507,United,,PhilipRose,,1,"@united Cancelled Flights flt from EWR. ""No crew"".Tells wife &amp; 4 yr old to ""get to NY to catch @AirCanada"" to YYZ! Good #customerservice is dead.",,2015-02-23 09:32:48 -0800,"Toronto, ON.....for now.",Central Time (US & Canada),united cancelled flights flt ewr crew .tells wife amp old get catch aircanada yyz good customerservice dead,united cancelled flight flt ewr crew .tells wife amp old get catch aircanada yyz good customerservice dead,united cancelled flights flt from ewr . `` no crew '' .tells wife & amp ; 4 yr old to `` get to ny to catch aircanada '' to yyz ! good customerservice is dead .
1154,569912710848057344,negative,1.0,Late Flight,1.0,United,,ADanaiBaker,,0,"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United",,2015-02-23 09:32:33 -0800,,,united now arriving day half late flightr supposed lesson day n't believe verbal written confirmations united,united now arriving day half late flightr supposed lesson day n't believe verbal written confirmation united,"united now arriving a day and a half late flightr than supposed to . lesson of the day , do n't believe verbal or written confirmations from united"
1156,569911713459408896,negative,1.0,Flight Attendant Complaints,0.3804,United,,ADanaiBaker,,0,@united Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket,,2015-02-23 09:28:35 -0800,,,united arriving airport hours departure time still missing flight actually n't electronic ticket,united arriving airport hour departure time still missing flight actually n't electronic ticket,united arriving at the airport 2 hours before departure time and still missing your flight bc you actually do n't have an electronic ticket
1157,569911515106582528,negative,1.0,Late Flight,1.0,United,,chefpaulcia,,0,@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime,,2015-02-23 09:27:48 -0800,,Central Time (US & Canada),united 1.75 hour delay nothing says sorry like voucher missing time family family precioustime,united 1.75 hour delay nothing say sorry like voucher missing time family family precioustime,united 1.75 hour delay . nothing says sorry like a voucher . missing time with family . family precioustime
1159,569910536755748865,negative,1.0,Late Flight,0.3511,United,,MrEschatologist,,0,@United has two whole people trying to schedule a flight's worth of missed connections. Shameful http://t.co/6kqLhVaP7G,,2015-02-23 09:23:55 -0800,"Arlington, VA",,united two whole people trying schedule flight worth missed connections shameful t.co 6kqlhvap7g,united two whole people trying schedule flight worth missed connection shameful t.co 6kqlhvap7g,united has two whole people trying to schedule a flight 's worth of missed connections . shameful : t.co 6kqlhvap7g
1160,569910299983130625,negative,1.0,Flight Attendant Complaints,0.3623,United,,unvoiced,,0,"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt",,2015-02-23 09:22:58 -0800,Taipei,Taipei,united unfriendly screw family hates kids moms waiting ua871 ... pray better fyvrfn due agent error tickt,united unfriendly screw family hate kid mom waiting ua871 ... pray better fyvrfn due agent error tickt,"united is unfriendly screw family , that hates kids and moms . now waiting on ua871 ... pray its better fyvrfn .. due to agent error and tickt"
1161,569909742447009792,negative,1.0,Flight Attendant Complaints,1.0,United,,brianaverna,,0,"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol",,2015-02-23 09:20:45 -0800,"CT, NY and most other states",Eastern Time (US & Canada),united gate agent ewr disabled wheel chair time board please step step lol,united gate agent ewr disabled wheel chair time board please step step lol,"united gate agent at ewr `` if you are disabled or in a wheel chair , it 's time to board , please step '' . step up ? ? ? lol"
1162,569909655813500928,negative,1.0,Customer Service Issue,1.0,United,,d_goodspeed,,0,@united it won't help...been there done that.,"[29.98877308, -95.33846478]",2015-02-23 09:20:25 -0800,USA,Central Time (US & Canada),united n't help ... done,united n't help ... done,united it wo n't help ... been there done that .
1163,569908928667996160,negative,1.0,Flight Attendant Complaints,0.3469,United,,unvoiced,,0,@united forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby.. united has no baby meals,,2015-02-23 09:17:31 -0800,Taipei,Taipei,united forces check baby bag overbooked flight complains wife need much baby united baby meals,united force check baby bag overbooked flight complains wife need much baby united baby meal,united forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby .. united has no baby meals
1165,569908628141920256,negative,1.0,Flight Attendant Complaints,0.6546,United,,unvoiced,,0,@united today take flight to san francisco. .. refuse to let us board with baby early... time we board wont let us take baby carryon bag,,2015-02-23 09:16:19 -0800,Taipei,Taipei,united today take flight san francisco refuse let board baby early ... time board wont let take baby carryon bag,united today take flight san francisco refuse let board baby early ... time board wont let take baby carryon bag,united today take flight to san francisco . .. refuse to let us board with baby early ... time we board wont let us take baby carryon bag
1166,569908175953993728,negative,1.0,Can't Tell,0.3481,United,,_mhertz,,1,@united we had four scheduled flights on this reservation and literally did not take one! Unreal,,2015-02-23 09:14:32 -0800,,Pacific Time (US & Canada),united four scheduled flights reservation literally take one unreal,united four scheduled flight reservation literally take one unreal,united we had four scheduled flights on this reservation and literally did not take one ! unreal
1167,569908123550375936,negative,1.0,Customer Service Issue,0.6773,United,,unvoiced,,0,@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,,2015-02-23 09:14:19 -0800,Taipei,Taipei,united ord hotel issued 4yr old tickets needed fixing another hour agents l8r nightmare still,united ord hotel issued 4yr old ticket needed fixing another hour agent l8r nightmare still,united in ord hotel issued to my 4yr old . tickets needed fixing again another hour and 5 agents l8r nightmare still not over
1168,569907773309214721,negative,1.0,Flight Booking Problems,0.6632,United,,unvoiced,,0,@united 3 hours to rebook but 8 hours l8r the same problem again. Arrive at gate stopped cause now infant is sitting in 4 yr old lap,,2015-02-23 09:12:56 -0800,Taipei,Taipei,united hours rebook hours l8r problem arrive gate stopped cause infant sitting old lap,united hour rebook hour l8r problem arrive gate stopped cause infant sitting old lap,united 3 hours to rebook but 8 hours l8r the same problem again . arrive at gate stopped cause now infant is sitting in 4 yr old lap
1169,569907564156035072,negative,1.0,Customer Service Issue,1.0,United,,unvoiced,,0,@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.,,2015-02-23 09:12:06 -0800,Taipei,Taipei,united arrived yyz take flight taiwan reservation missing ticket numbers slow agent sukhdeep caused miss flt,united arrived yyz take flight taiwan reservation missing ticket number slow agent sukhdeep caused miss flt,united arrived in yyz to take our flight to taiwan . reservation missing our ticket numbers . slow agent sukhdeep caused us to miss our flt .
1172,569906831352578049,negative,1.0,Can't Tell,0.3442,United,,JuanseMolano,,0,@united and those three people were awesome working very long hours. It is easy to say sorry on Twitter but you should help your ppl @EWR,,2015-02-23 09:09:11 -0800,,Quito,united three people awesome working long hours easy say sorry twitter help ppl ewr,united three people awesome working long hour easy say sorry twitter help ppl ewr,united and those three people were awesome working very long hours . it is easy to say sorry on twitter but you should help your ppl ewr
1173,569906598472228864,negative,1.0,Customer Service Issue,1.0,United,,JuanseMolano,,0,@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,,2015-02-23 09:08:16 -0800,,Quito,united guess but excuse understaffed costumer services people deal lots angry passengers weather,united guess but excuse understaffed costumer service people deal lot angry passenger weather,united i guess . but what is the excuse for understaffed costumer services ? 3 people had to deal with lots of angry passengers . weather too ?
1174,569905534020820992,negative,1.0,Cancelled Flight,1.0,United,,PhilipRose,,0,"@united ,now you have Cancelled Flightled my wife and daughter's flt?? What's going on? Follow me so I can dm details.",,2015-02-23 09:04:02 -0800,"Toronto, ON.....for now.",Central Time (US & Canada),united cancelled flightled wife daughter flt what going follow details,united cancelled flightled wife daughter flt what going follow detail,"united , now you have cancelled flightled my wife and daughter 's flt ? ? what 's going on ? follow me so i can dm details ."
1175,569905258715082753,negative,1.0,Cancelled Flight,0.7070000000000001,United,,gwen1013,,0,@united Has it departed? I was awaiting an inbound plane yesterday for three hours and it never arrived. Had to stay overnight (again).,,2015-02-23 09:02:56 -0800,"New Haven, CT",,united has departed awaiting inbound plane yesterday three hours never arrived had stay overnight,united ha departed awaiting inbound plane yesterday three hour never arrived had stay overnight,united has it departed ? i was awaiting an inbound plane yesterday for three hours and it never arrived . had to stay overnight ( again ) .
1178,569904716328673280,negative,1.0,Customer Service Issue,0.6232,United,,ChelseaRhane,,0,@united was that English? I'll DM though I don't think you'll make a plane appear.,,2015-02-23 09:00:47 -0800,"San Diego, CA",Eastern Time (US & Canada),united english 'll though n't think 'll make plane appear,united english 'll though n't think 'll make plane appear,united was that english ? i 'll dm though i do n't think you 'll make a plane appear .
1179,569904406285516800,negative,1.0,Late Flight,1.0,United,,Natemaniac12,,0,@united looks like today will be my 6th consecutive delayed flight from you...do I win a prize??? @Southwest Air why don't you fly to SBA? 😭,,2015-02-23 08:59:33 -0800,california,Pacific Time (US & Canada),united looks like today 6th consecutive delayed flight ... win prize southwest air n't fly sba,united look like today 6th consecutive delayed flight ... win prize southwest air n't fly sba,united looks like today will be my 6th consecutive delayed flight from you ... do i win a prize ? ? ? southwest air why do n't you fly to sba ? 😭
1180,569903840507506688,negative,1.0,Late Flight,0.3456,United,,chefpaulcia,,0,@united sitting in a plane with no pilot.  Thanks! #waitingonapilot #denver #siouxfalls #whyairtravelsucks,,2015-02-23 08:57:18 -0800,,Central Time (US & Canada),united sitting plane pilot thanks waitingonapilot denver siouxfalls whyairtravelsucks,united sitting plane pilot thanks waitingonapilot denver siouxfalls whyairtravelsucks,united sitting in a plane with no pilot . thanks ! waitingonapilot denver siouxfalls whyairtravelsucks
1182,569903366647586818,negative,1.0,Can't Tell,0.3596,United,,ganteisan,,1,@united already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?,,2015-02-23 08:55:25 -0800,"Santiago, Chile",Santiago,united already done answer got ... oops give miles 're sorry pays discomfort,united already done answer got ... oops give mile 're sorry pay discomfort,united already done that . the answer i got was ... oops we can give you miles and we 're very sorry . but who pays for my discomfort for 9 h ?
1184,569902743135117314,negative,1.0,Late Flight,1.0,United,,gwen1013,,1,@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,,2015-02-23 08:52:56 -0800,"New Haven, CT",,united know ua5282 delayed this getting crazy 've already overnight delays unitedairlines,united know ua5282 delayed this getting crazy 've already overnight delay unitedairlines,united do we know why ua5282 is delayed x2 ) ? this is getting crazy . i 've already had 2 overnight delays . unitedairlines
1186,569902065247322112,negative,1.0,Late Flight,1.0,United,,LukeXuanLiu,,1,"@united and most frustratingly, all this delay happened either at the gate, or even onboard the aircraft! No heads up in advance!!!",,2015-02-23 08:50:15 -0800,,Atlantic Time (Canada),united frustratingly delay happened either gate even onboard aircraft heads advance,united frustratingly delay happened either gate even onboard aircraft head advance,"united and most frustratingly , all this delay happened either at the gate , or even onboard the aircraft ! no heads up in advance ! ! !"
1188,569901679975522304,negative,1.0,Late Flight,1.0,United,,LukeXuanLiu,,0,"@united my UA3426 on 2/19 was also delayed by 2 hours, stretching my trip way past the midnight, extremely exhausting!",,2015-02-23 08:48:43 -0800,,Atlantic Time (Canada),united ua3426 also delayed hours stretching trip way past midnight extremely exhausting,united ua3426 also delayed hour stretching trip way past midnight extremely exhausting,"united my ua3426 on 2 19 was also delayed by 2 hours , stretching my trip way past the midnight , extremely exhausting !"
1189,569901512190767105,negative,1.0,Late Flight,0.664,United,,JoeSchueller,,0,@united Ha… you rebooked me in to an 11 hr layover &amp; are robbing me of a night with my family. Too Late Flight for that. Just fly on time for once.,,2015-02-23 08:48:03 -0800,"Research Triangle, NC",Central Time (US & Canada),united ha… rebooked layover amp robbing night family too late flight just fly time,united ha… rebooked layover amp robbing night family too late flight just fly time,united ha… you rebooked me in to an 11 hr layover & amp ; are robbing me of a night with my family . too late flight for that . just fly on time for once .
1190,569901094945611776,negative,1.0,Late Flight,1.0,United,,LukeXuanLiu,,0,@united switched to fly united from delta for the past two trips and was very disappointed. Now my UA4646 on 2/23 is delayed by 3 hours!!,,2015-02-23 08:46:23 -0800,,Atlantic Time (Canada),united switched fly united delta past two trips disappointed now ua4646 delayed hours,united switched fly united delta past two trip disappointed now ua4646 delayed hour,united switched to fly united from delta for the past two trips and was very disappointed . now my ua4646 on 2 23 is delayed by 3 hours ! !
1192,569900832616943616,negative,1.0,Late Flight,1.0,United,,kermudgeon,,0,@united  #UnitedAirlines  how long will1531 be delayed.,,2015-02-23 08:45:21 -0800,Colorado,America/Chicago,united unitedairlines long will1531 delayed,united unitedairlines long will1531 delayed,united unitedairlines how long will1531 be delayed .
1193,569900131488632832,negative,1.0,Late Flight,1.0,United,,kermudgeon,,0,@united Why isn't the flight status updated to delayed UA1532 no board,,2015-02-23 08:42:34 -0800,Colorado,America/Chicago,united why n't flight status updated delayed ua1532 board,united why n't flight status updated delayed ua1532 board,united why is n't the flight status updated to delayed ua1532 no board
1194,569899917935714305,negative,1.0,Flight Attendant Complaints,0.3784,United,,twitarse,,0,@united I paid for economy plus and you put me in the last boarding group so I have to gate check my bags too? @VirginAmerica knows better..,,2015-02-23 08:41:43 -0800,San Francisco Bay Area,,united paid economy plus put last boarding group gate check bags virginamerica knows better,united paid economy plus put last boarding group gate check bag virginamerica know better,united i paid for economy plus and you put me in the last boarding group so i have to gate check my bags too ? virginamerica knows better ..
1195,569899063790825472,negative,1.0,Bad Flight,0.6907,United,,ganteisan,,1,@united i travelled from SCL- IHA feb 17. the AC on my sit (21L) was ON all night. I complaint to FA who never gave me a real answer. Help!,,2015-02-23 08:38:19 -0800,"Santiago, Chile",Santiago,united travelled scl iha feb 17. sit 21l night complaint never gave real answer help,united travelled scl iha feb 17. sit 21l night complaint never gave real answer help,united i travelled from scl iha feb 17. the ac on my sit ( 21l ) was on all night . i complaint to fa who never gave me a real answer . help !
1196,569898994408693760,negative,1.0,Late Flight,1.0,United,,BossDDS,,1,@united you suck.    9 hour delay?!,,2015-02-23 08:38:03 -0800,"North Suburbs, IL  (Chicago)",Central Time (US & Canada),united suck hour delay,united suck hour delay,united you suck . 9 hour delay ? !
1197,569897003255083008,negative,1.0,Can't Tell,0.6733,United,,tinsleyjim,,0,@united you are the worst airline in the world! From your crap website to your worthless app to your Late Flight flight. You SUCK! Just shut down.,,2015-02-23 08:30:08 -0800,"Mountlake Terrace, WA",Pacific Time (US & Canada),united worst airline world from crap website worthless app late flight flight you suck just shut,united worst airline world from crap website worthless app late flight flight you suck just shut,united you are the worst airline in the world ! from your crap website to your worthless app to your late flight flight . you suck ! just shut down .
1200,569894828315533312,negative,1.0,Late Flight,1.0,United,,ahpandya747,,0,@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!,,2015-02-23 08:21:29 -0800,New Jersey,Eastern Time (US & Canada),united 3866 stand still pilot paperwork fix 25mins problem fixed 30mins ago flight delayed,united 3866 stand still pilot paperwork fix 25mins problem fixed 30mins ago flight delayed,united 3866 is at a stand still ! no pilot or paperwork for fix over 25mins ! problem was fixed 30mins ago . flight is as is delayed !
1202,569890681361186818,negative,1.0,Flight Attendant Complaints,0.7021,United,,cfacekillah,,0,@united. Is it reasonable to wait 45 mins for the bag you made me check because the flight staff couldn't police the overhead bins?,,2015-02-23 08:05:01 -0800,,,united reasonable wait mins bag made check flight staff could n't police overhead bins,united reasonable wait min bag made check flight staff could n't police overhead bin,united . is it reasonable to wait 45 mins for the bag you made me check because the flight staff could n't police the overhead bins ?
1204,569888244155981825,negative,1.0,Customer Service Issue,0.3388,United,,generationKYLIE,,0,@united AN HOUR DELAY BECAUSE YOU CAN'T PRINT A PIECE OF PAPER!,,2015-02-23 07:55:20 -0800,"Washington, DC",,united hour delay because you n't print piece paper,united hour delay because you n't print piece paper,united an hour delay because you ca n't print a piece of paper !
1213,569883984190005248,negative,1.0,Can't Tell,0.6392,United,,ScottHRoth,,0,@united 768 SFO to BOS and no internet it is 2015 what gives?,,2015-02-23 07:38:24 -0800,"Needham, MA",Eastern Time (US & Canada),united 768 sfo bos internet 2015 gives,united 768 sfo bos internet 2015 give,united 768 sfo to bos and no internet it is 2015 what gives ?
1214,569882164382322688,negative,1.0,Customer Service Issue,1.0,United,,jacob_bach,,0,"@united is the worst. Worst reservation policies. Worst costumer service. Worst worst worst. Congrats, @Delta you're not that bad!",,2015-02-23 07:31:10 -0800,"Milwaukee, WI",,united worst worst reservation policies worst costumer service worst worst worst congrats delta 're bad,united worst worst reservation policy worst costumer service worst worst worst congrats delta 're bad,"united is the worst . worst reservation policies . worst costumer service . worst worst worst . congrats , delta you 're not that bad !"
1215,569881449249316864,negative,1.0,Flight Booking Problems,0.6495,United,,christinphillip,,0,@united I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!,,2015-02-23 07:28:20 -0800,"Princeton, NJ",Central Time (US & Canada),united trying make change reservations getting extremely frustrated giving trying another airline,united trying make change reservation getting extremely frustrated giving trying another airline,united i am trying to make change reservations and getting extremely frustrated ! ! ! giving up and trying another airline ! ! !
1217,569880322487263232,negative,1.0,Late Flight,1.0,United,,DanaHFreeman,,0,@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?,,2015-02-23 07:23:51 -0800,"Burlington, Vermont",Eastern Time (US & Canada),united late flight crew btv last nite delayed todays flt will miss connection cun why play hotel tonight ewr,united late flight crew btv last nite delayed today flt will miss connection cun why play hotel tonight ewr,united late flight crew into btv last nite delayed todays flt . will miss connection to cun . why do i have to play for hotel tonight in ewr ?
1218,569879943988948992,negative,1.0,Customer Service Issue,0.657,United,,ErinHughey,,0,@united no they aren't - I just called to check. #WORSTCUSTOMERSERVICE,,2015-02-23 07:22:21 -0800,"Maui, Hawaii",Hawaii,united n't called check worstcustomerservice,united n't called check worstcustomerservice,united no they are n't i just called to check . worstcustomerservice
1219,569879623317659648,negative,1.0,Late Flight,0.6421,United,,jasoncarpio,,0,@united passengers should have been rerouted to match the intended arrival time (even if you have to incur cost to put us in other airlines),,2015-02-23 07:21:04 -0800,"San Francisco, California",Pacific Time (US & Canada),united passengers rerouted match intended arrival time even incur cost put airlines,united passenger rerouted match intended arrival time even incur cost put airline,united passengers should have been rerouted to match the intended arrival time ( even if you have to incur cost to put us in other airlines )
1221,569878547197616128,negative,1.0,Customer Service Issue,0.3481,United,,rissels,,0,"@united need to work on your #United #flierfriendly program. At the very least, clue in your flight attendants.",,2015-02-23 07:16:48 -0800,,Central Time (US & Canada),united need work united flierfriendly program least clue flight attendants,united need work united flierfriendly program least clue flight attendant,"united need to work on your united flierfriendly program . at the very least , clue in your flight attendants ."
1222,569878388464177152,negative,1.0,Lost Luggage,1.0,United,,rissels,,0,@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united,,2015-02-23 07:16:10 -0800,,Central Time (US & Canada),united space doctors notes everything and first trip lost first suitcase among issues pleased united,united space doctor note everything and first trip lost first suitcase among issue pleased united,united space . doctors ' notes and everything . and on my first trip they lost my first suitcase . among other issues not pleased with united
1223,569878139003740163,negative,1.0,Customer Service Issue,0.3463,United,,rissels,,0,@united 's new #flierfriendly is garbage. Just had to cry to get attendant to find a place for my medical supplies with limited overhead,,2015-02-23 07:15:10 -0800,,Central Time (US & Canada),united new flierfriendly garbage just cry get attendant find place medical supplies limited overhead,united new flierfriendly garbage just cry get attendant find place medical supply limited overhead,united 's new flierfriendly is garbage . just had to cry to get attendant to find a place for my medical supplies with limited overhead
1224,569877754801360897,negative,1.0,Late Flight,1.0,United,,debragordon2012,,0,@united. epic fail. @reagan. no jetway. been here 15 mins on tarmac!,,2015-02-23 07:13:39 -0800,"Williamsburg, VA",Eastern Time (US & Canada),united epic fail reagan jetway mins tarmac,united epic fail reagan jetway min tarmac,united . epic fail . reagan . no jetway . been here 15 mins on tarmac !
1228,569875734677712896,negative,1.0,Lost Luggage,1.0,United,,ErinHughey,,0,@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE,,2015-02-23 07:05:37 -0800,"Maui, Hawaii",Hawaii,united 2nd flight two weeks lost bag taking status americanair neveragain worstcustomerservice,united 2nd flight two week lost bag taking status americanair neveragain worstcustomerservice,united 2nd flight in two weeks that you have lost my bag ! taking my 1k status to americanair neveragain worstcustomerservice
1231,569875203473297408,negative,1.0,Bad Flight,0.6304,United,,_MikeDWarren_,,0,"@united UA1130 Flight was a nightmare!! From poor customer service,having my confirmed seat given away.... +more issues",,2015-02-23 07:03:30 -0800,"Calabasas, California",Pacific Time (US & Canada),united ua1130 flight nightmare from poor customer service confirmed seat given away .... issues,united ua1130 flight nightmare from poor customer service confirmed seat given away .... issue,"united ua1130 flight was a nightmare ! ! from poor customer service , having my confirmed seat given away .... more issues"
1236,569872896199258113,negative,1.0,Bad Flight,0.6742,United,,msu2050,,0,@united Flight 683 last night was #bad4business. Will be a long time before I recommend United to anyone.,,2015-02-23 06:54:20 -0800,"canton mi
",Eastern Time (US & Canada),united flight 683 last night bad4business will long time recommend united anyone,united flight 683 last night bad4business will long time recommend united anyone,united flight 683 last night was bad4business . will be a long time before i recommend united to anyone .
1237,569872009380941825,negative,1.0,Customer Service Issue,0.3803,United,,micheleliston,,0,"@united Beyond frustrated  Sked change = no seats, earlier departure and double layover.  Of course only seats are $$++.  Cust svc no help",,2015-02-23 06:50:49 -0800,"Ashburn, VA",Eastern Time (US & Canada),united beyond frustrated sked change seats earlier departure double layover course seats cust svc help,united beyond frustrated sked change seat earlier departure double layover course seat cust svc help,"united beyond frustrated sked change = no seats , earlier departure and double layover . of course only seats are $ $ . cust svc no help"
1238,569871433662271488,negative,1.0,Flight Booking Problems,0.3564,United,,nikodunham,,0,"@united working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR.","[41.97883697, -87.90639116]",2015-02-23 06:48:32 -0800,chicago,,united working lisa ord working hard still very disappointing 634 ewr,united working lisa ord working hard still very disappointing 634 ewr,"united working with lisa j at ord . she 's working hard for us , but this is still very disappointing . was on 634 to ewr ."
